2026 YTD SHIPS (+ in progress films) - DASHBOARD,,,,,,,,,,,,,,Annual goals,total number,% complete,,,
Written ,,Social,,Testimonial Films,,Brand + Innovation films,,Advocacy campaigns,,Quote banks ,,Ships Grand Total,,Written,50,42%,,,
Zenken (ENT),1,Summits - Testimonial,4,Travelers ,TBD,Brand Campaign,in progress,Codex social-first,1,Frontiers launch ,8,67,,Social,150,29%,,,
Cisco (Ent),1,Codex - Testiminial,4,Uber ,1,Fast Campus,in progress,"Customer posts 
(Advent, Target",2,5.4 launch,11,Q1,,Testimonial,5,20%,,,
Trustbank (Ent),1,Raukten,6,US compilation film ,in progress,,,,,,,Q2,,Brand/Inno,3,67%,,,
Taisei (Ent),1,RealPage,1,UK compilation film (Frontiers),in progress,,,,,,,,,,,,,,
VFL Wolfsburg (Ent),1,GitHub,1,LSEG ,in progress,,,,,,,,,Quarterly goals,total number,Q1 % complete,Q2 % complete,Q3 % complete,Q4 % complete
Datadog,1,BCH,1,,,,,,,,,,,Written,12.5,120%,48%,,
Balyasny Asset Management (Ent),1,Notion,1, ,,,,,,,,,,Social,37.5,67%,45%,,
Rakuten (Ent),1,Sierra,1,,,,,,,,,,,Testimonial,1.25,0%,80%,,
Wayfair (Ent),1,me&u (Ryan Hendler),1, ,,,,,,,,,,Brand/Inno,0.75,0%,267%,,
Stadler (Ent),1,Ramp,1, ,,,,,,,,,,,,,,,
Tolan (SU),1,Retail summit recap,1,,,,,,,,,,,,,,,,
Netomi (SU),1,Braintrust,1, ,,,,,,,,,,,,,,,
Higgsfield (SU),1,Customer post (Target),1,,,,,,,,,,,,,,,,
Praktika (SU),1,Customer post (Advent Health),1,,,,,,,,,,,,,,,,
Descript (SU),1,LGU+ ,1,,,,,,,,,,,,,,,,
Gradient Labs (SU),1,Stadler,1,,,,,,,,,,,,,,,,
Cyber Agent (SU),1,PAYG Codex Blog ,1, ,,,,,,,,,,,,,,,
Choco,1,Gradient Labs ,1,,,,,,,,,,,,,,,,
Uber (ENT),1,Codex Super Edit  ,1,,,,,,,,,,,,,,,,
Singular Bank (ENT),1,Flint ,1,,,,,,,,,,,,,,,,
Parola (SU),1,Singular Bank,1,,,,,,,,,,,,,,,,
,,Wasmer,1,,,,,,,,,,,,,,,,
,,NVIDIA (GPT 5.5 launch) ,2,,,,,,,,,,,,,,,,
,,Ramp (GPT 5.5 launch) ,1,,,,,,,,,,,,,,,,
,,Perplexity (GPT 5.5 launch) ,1,,,,,,,,,,,,,,,,
,,Compilation (GPT 5.5 launch) ,1,,,,,,,,,,,,,,,,
,,Virgin Atlantic (GPT 5.5 launch),1,,,,,,,,,,,,,,,,
,,Databricks (GPT 5.5 launch),1,,,,,,,,,,,,,,,,
,,Endava (Codex),1,,,,,,,,,,,,,,,,
,,Box (GPT 5.5),1,,,,,,,,,,,,,,,,
,,Emanate (SU spotlight),1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Total,21,Total,43,Total,1,Total,2,Total ,3,Total,19,,,,,,,,
